"OWNER","CONSTRAINT_NAME","CONDITION","TRUNCATED"
"RECON_TEST","CK_EMP_SAL","sal > 0",0
"RECON_TEST","SYS_C008238","""DNAME"" IS NOT NULL",0
"RECON_TEST","SYS_C008240","""ENAME"" IS NOT NULL",0
"RECON_TEST","SYS_C008245","""INVOICE_ID"" IS NOT NULL",0
"RECON_TEST","SYS_C008246","""CUSTOMER"" IS NOT NULL",0
"RECON_TEST","SYS_C008247","""NET_AMOUNT"" IS NOT NULL",0
"RECON_TEST","SYS_C008249","""SALE_ID"" IS NOT NULL",0
"RECON_TEST","SYS_C008250","""SALE_DATE"" IS NOT NULL",0
"RECON_TEST","SYS_C008253","""AUDIT_ID"" IS NOT NULL",0
"RECON_TEST","SYS_C008254","""DNAME"" IS NOT NULL",0
