
"OWNER","CONSTRAINT_NAME","TABLE_NAME","CONSTRAINT_TYPE","STATUS","R_OWNER","R_CONSTRAINT_NAME","DELETE_RULE"
"RECON_TEST","SYS_C008253","AUDIT_LOG","C","ENABLED",,,
"RECON_TEST","PK_DEPT","DEPT","P","ENABLED",,,
"RECON_TEST","SYS_C008238","DEPT","C","ENABLED",,,
"RECON_TEST","CK_EMP_SAL","EMP","C","ENABLED",,,
"RECON_TEST","FK_EMP_DEPT","EMP","R","ENABLED","RECON_TEST","PK_DEPT","NO ACTION"
"RECON_TEST","FK_EMP_MGR","EMP","R","ENABLED","RECON_TEST","PK_EMP","NO ACTION"
"RECON_TEST","PK_EMP","EMP","P","ENABLED",,,
"RECON_TEST","SYS_C008240","EMP","C","ENABLED",,,
"RECON_TEST","PK_INVOICES","INVOICES","P","ENABLED",,,
"RECON_TEST","SYS_C008245","INVOICES","C","ENABLED",,,
"RECON_TEST","SYS_C008246","INVOICES","C","ENABLED",,,
"RECON_TEST","SYS_C008247","INVOICES","C","ENABLED",,,
"RECON_TEST","PK_LEGACY_NOTES","LEGACY_NOTES","P","ENABLED",,,
"RECON_TEST","SYS_C008255","LEGACY_REFS","P","ENABLED",,,
"RECON_TEST","SYS_C008254","MV_DEPT_SALARIES","C","ENABLED",,,
"RECON_TEST","PK_PRODUCT_SPECS","PRODUCT_SPECS","P","ENABLED",,,
"RECON_TEST","SYS_C008249","SALES","C","ENABLED",,,
"RECON_TEST","SYS_C008250","SALES","C","ENABLED",,,
