
"OWNER","NAME","TYPE","REFERENCED_OWNER","REFERENCED_NAME","REFERENCED_TYPE"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION","RECON_TEST","EMP","TABLE"
"RECON_TEST","FIND_MANAGER","PROCEDURE","RECON_TEST","EMP","TABLE"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY","RECON_TEST","AUDIT_LOG","TABLE"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY","RECON_TEST","PKG_LEDGER","PACKAGE"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY","RECON_TEST","SALES","TABLE"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY","RECON_TEST","SEQ_SALE_ID","SEQUENCE"
"RECON_TEST","STAFF","SYNONYM","RECON_TEST","EMP","TABLE"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER","RECON_TEST","AUDIT_LOG","TABLE"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER","RECON_TEST","EMP","TABLE"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER","RECON_TEST","EMP","TABLE"
"RECON_TEST","T_MONEY","TYPE BODY","RECON_TEST","T_MONEY","TYPE"
"RECON_TEST","V_EMP_DEPT","VIEW","RECON_TEST","DEPT","TABLE"
"RECON_TEST","V_EMP_DEPT","VIEW","RECON_TEST","EMP","TABLE"
"RECON_TEST","V_ORG_CHART","VIEW","RECON_TEST","EMP","TABLE"
