
"NAME","VERSION","DETECTED_USAGES","CURRENTLY_USED","LAST_USAGE"
"ACFS","21.0.0.0.0",0,"FALSE",
"ACFS Encryption","21.0.0.0.0",0,"FALSE",
"ACFS Snapshot","21.0.0.0.0",0,"FALSE",
"ADDM","21.0.0.0.0",0,"FALSE",
"ASM Filter Driver","21.0.0.0.0",0,"FALSE",
"ASO native encryption and checksumming","21.0.0.0.0",0,"FALSE",
"AWR Baseline","21.0.0.0.0",0,"FALSE",
"AWR Baseline Template","21.0.0.0.0",0,"FALSE",
"AWR Report","21.0.0.0.0",0,"FALSE",
"Active Data Guard - Real-Time Query on Physical Standby","21.0.0.0.0",0,"FALSE",
"Adaptive Plans","21.0.0.0.0",0,"FALSE",
"Advanced Index Compression","21.0.0.0.0",0,"FALSE",
"Advanced Replication","21.0.0.0.0",0,"FALSE",
"Analytic Views","21.0.0.0.0",0,"FALSE",
"Application Continuity","21.0.0.0.0",0,"FALSE",
"Application Express","21.0.0.0.0",0,"FALSE",
"Approx QP","21.0.0.0.0",0,"FALSE",
"Automatic Maintenance - Optimizer Statistics Gathering","21.0.0.0.0",0,"FALSE",
"Automatic Maintenance - SQL Tuning Advisor","21.0.0.0.0",0,"FALSE",
"Automatic Maintenance - Space Advisor","21.0.0.0.0",0,"FALSE",
"Automatic Memory Tuning","21.0.0.0.0",0,"FALSE",
"Automatic Reoptimization","21.0.0.0.0",0,"FALSE",
"Automatic SGA Tuning","21.0.0.0.0",0,"FALSE",
"Automatic SQL Execution Memory","21.0.0.0.0",0,"FALSE",
"Automatic SQL Tuning Advisor","21.0.0.0.0",0,"FALSE",
"Automatic Segment Space Management (system)","21.0.0.0.0",0,"FALSE",
"Automatic Segment Space Management (user)","21.0.0.0.0",0,"FALSE",
"Automatic Storage Management","21.0.0.0.0",0,"FALSE",
"Automatic Undo Management","21.0.0.0.0",0,"FALSE",
"Automatic Workload Repository","21.0.0.0.0",0,"FALSE",
"BA Owner","21.0.0.0.0",0,"FALSE",
"Backup BASIC Compression","21.0.0.0.0",0,"FALSE",
"Backup BZIP2 Compression","21.0.0.0.0",0,"FALSE",
"Backup Encryption","21.0.0.0.0",0,"FALSE",
"Backup HIGH Compression","21.0.0.0.0",0,"FALSE",
"Backup LOW Compression","21.0.0.0.0",0,"FALSE",
"Backup MEDIUM Compression","21.0.0.0.0",0,"FALSE",
"Backup Rollforward","21.0.0.0.0",0,"FALSE",
"Backup ZLIB Compression","21.0.0.0.0",0,"FALSE",
"Backup and Restore of plugged database","21.0.0.0.0",0,"FALSE",
"Baseline Adaptive Thresholds","21.0.0.0.0",0,"FALSE",
"Baseline Static Computations","21.0.0.0.0",0,"FALSE",
"Bigfile Tablespace","21.0.0.0.0",0,"FALSE",
"Block Media Recovery","21.0.0.0.0",0,"FALSE",
"CONVERT command","21.0.0.0.0",0,"FALSE",
"CSSCAN","21.0.0.0.0",0,"FALSE",
"Change-Aware Incremental Backup","21.0.0.0.0",0,"FALSE",
"Character Semantics","21.0.0.0.0",0,"FALSE",
"Character Set","21.0.0.0.0",0,"FALSE",
"Client Identifier","21.0.0.0.0",0,"FALSE",
"Client Result Cache","21.0.0.0.0",0,"FALSE",
"Cloud DB with EHCC","21.0.0.0.0",0,"FALSE",
"Clusterwide Global Transactions","21.0.0.0.0",0,"FALSE",
"Compression Advisor","21.0.0.0.0",0,"FALSE",
"Concurrent Statistics Gathering","21.0.0.0.0",0,"FALSE",
"Container Usage","21.0.0.0.0",0,"FALSE",
"Cross-Platform Backups","21.0.0.0.0",0,"FALSE",
"Crossedition Triggers","21.0.0.0.0",0,"FALSE",
"DBFS Content","21.0.0.0.0",0,"FALSE",
"DBFS HS","21.0.0.0.0",0,"FALSE",
"DBFS SFS","21.0.0.0.0",0,"FALSE",
"DBMS_STATS Incremental Maintenance","21.0.0.0.0",0,"FALSE",
"Data Guard","21.0.0.0.0",0,"FALSE",
"Data Mining","21.0.0.0.0",0,"FALSE",
"Data Recovery Advisor","21.0.0.0.0",0,"FALSE",
"Data Redaction","21.0.0.0.0",0,"FALSE",
"Database Migration Assistant for Unicode","21.0.0.0.0",0,"FALSE",
"Database Replay: Workload Capture","21.0.0.0.0",0,"FALSE",
"Database Replay: Workload Replay","21.0.0.0.0",0,"FALSE",
"Database Resident Connection Pooling (DRCP)","21.0.0.0.0",0,"FALSE",
"Deferred Open Read Only","21.0.0.0.0",0,"FALSE",
"Deferred Segment Creation","21.0.0.0.0",0,"FALSE",
"Direct NFS","21.0.0.0.0",0,"FALSE",
"Duplicate Db from Active Db using BackupSet","21.0.0.0.0",0,"FALSE",
"Dynamic SGA","21.0.0.0.0",0,"FALSE",
"EM Cloud Control","21.0.0.0.0",0,"FALSE",
"EM Express","21.0.0.0.0",0,"FALSE",
"EM Performance Page","21.0.0.0.0",0,"FALSE",
"Editioning Views","21.0.0.0.0",0,"FALSE",
"Editions","21.0.0.0.0",0,"FALSE",
"Encrypted Tablespaces","21.0.0.0.0",0,"FALSE",
"Exadata","21.0.0.0.0",0,"FALSE",
"Extensibility","21.0.0.0.0",0,"FALSE",
"File Mapping","21.0.0.0.0",0,"FALSE",
"Fine Grained Audit","21.0.0.0.0",0,"FALSE",
"Flashback Data Archive","21.0.0.0.0",0,"FALSE",
"Flashback Database","21.0.0.0.0",0,"FALSE",
"Flex ASM","21.0.0.0.0",0,"FALSE",
"GDS Catalog","21.0.0.0.0",0,"FALSE",
"Gateways","21.0.0.0.0",0,"FALSE",
"Global Data Services","21.0.0.0.0",0,"FALSE",
"GoldenGate","21.0.0.0.0",0,"FALSE",
"HeapCompression","21.0.0.0.0",0,"FALSE",
"Heat Map","21.0.0.0.0",0,"FALSE",
"Hybrid Columnar Compression","21.0.0.0.0",0,"FALSE",
"Hybrid Columnar Compression Conventional Load","21.0.0.0.0",0,"FALSE",
