
"OWNER","NAME","TYPE","LINE","TEXT"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",1,"PROCEDURE archive_notes AS
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",2,"    l_out  UTL_FILE.FILE_TYPE;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",3,"    l_rid  ROWID;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",4,"    l_note VARCHAR2(100) := '';
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",5,"    l_len  NUMBER;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",6,"    l_doc  CLOB;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",7,"BEGIN
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",8,"    SELECT /*+ FULL(n) PARALLEL(n, 2) */ MIN(rowid)
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",9,"      INTO l_rid
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",10,"      FROM legacy_notes n;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",11,"    IF l_note = '' THEN
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",12,"        l_note := 'no note';
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",13,"    END IF;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",14,"    l_len := DBMS_LOB.GETLENGTH(l_doc);
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",15,"    pkg_ledger.post_sale(l_len, 'ARCHIVE');
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",16,"    l_out := UTL_FILE.FOPEN('DATA_PUMP_DIR', 'notes.txt', 'w');
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",17,"    UTL_FILE.PUT_LINE(l_out, l_note || TO_CHAR(pkg_ledger.run_total));
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",18,"    UTL_FILE.FCLOSE(l_out);
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",19,"    DBMS_OUTPUT.PUT_LINE('archived at ' || TO_CHAR(SYSDATE));
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",20,"    DELETE FROM legacy_notes WHERE rowid = l_rid;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",21,"EXCEPTION
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",22,"    WHEN OTHERS THEN
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",23,"        NULL;
"
"RECON_TEST","ARCHIVE_NOTES","PROCEDURE",24,"END archive_notes;"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",1,"FUNCTION dept_headcount (p_deptno NUMBER)
"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",2,"    RETURN NUMBER DETERMINISTIC AS
"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",3,"    l_count NUMBER;
"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",4,"BEGIN
"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",5,"    SELECT COUNT(*) INTO l_count FROM emp WHERE deptno = p_deptno;
"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",6,"    RETURN l_count;
"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION",7,"END dept_headcount;"
"RECON_TEST","FIND_MANAGER","PROCEDURE",1,"PROCEDURE find_manager (
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",2,"    p_empno  IN  NUMBER,
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",3,"    p_mgr    OUT VARCHAR2,
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",4,"    p_depth  OUT PLS_INTEGER
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",5,") AS
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",6,"    l_mgr NUMBER;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",7,"BEGIN
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",8,"    p_depth := 0;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",9,"    l_mgr := p_empno;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",10,"    <<climb>>
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",11,"    SELECT mgr INTO l_mgr FROM emp WHERE empno = l_mgr;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",12,"    IF l_mgr IS NOT NULL THEN
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",13,"        p_depth := p_depth + 1;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",14,"        GOTO climb;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",15,"    END IF;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",16,"    SELECT ename INTO p_mgr FROM emp WHERE mgr IS NULL;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",17,"EXCEPTION
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",18,"    WHEN NO_DATA_FOUND THEN
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",19,"        p_mgr := NULL;
"
"RECON_TEST","FIND_MANAGER","PROCEDURE",20,"END find_manager;"
"RECON_TEST","PKG_LEDGER","PACKAGE",1,"PACKAGE pkg_ledger AS
"
"RECON_TEST","PKG_LEDGER","PACKAGE",2,"    g_run_id      NUMBER;
"
"RECON_TEST","PKG_LEDGER","PACKAGE",3,"    g_batch_size  CONSTANT PLS_INTEGER := 500;
"
"RECON_TEST","PKG_LEDGER","PACKAGE",4,"
"
"RECON_TEST","PKG_LEDGER","PACKAGE",5,"    PROCEDURE post_sale (p_amount NUMBER, p_region VARCHAR2);
"
"RECON_TEST","PKG_LEDGER","PACKAGE",6,"    FUNCTION  run_total RETURN NUMBER;
"
"RECON_TEST","PKG_LEDGER","PACKAGE",7,"    PROCEDURE rollup_day;
"
"RECON_TEST","PKG_LEDGER","PACKAGE",8,"END pkg_ledger;"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",1,"PACKAGE BODY pkg_ledger AS
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",2,"    g_total NUMBER := 0;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",3,"
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",4,"    PROCEDURE post_sale (p_amount NUMBER, p_region VARCHAR2) IS
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",5,"    BEGIN
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",6,"        INSERT INTO sales (sale_id, sale_date, amount, region)
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",7,"        VALUES (seq_sale_id.NEXTVAL, SYSDATE, p_amount, p_region);
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",8,"        g_total := g_total + p_amount;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",9,"    END post_sale;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",10,"
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",11,"    FUNCTION run_total RETURN NUMBER IS
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",12,"    BEGIN
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",13,"        RETURN g_total;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",14,"    END run_total;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",15,"
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",16,"    PROCEDURE rollup_day IS
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",17,"        CURSOR c_regions IS
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",18,"            SELECT region, SUM(amount) AS amt
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",19,"              FROM sales GROUP BY region;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",20,"        TYPE t_rows IS TABLE OF c_regions%ROWTYPE;
"
