
"OWNER","TABLE_NAME","NUM_ROWS","AVG_ROW_LEN","PARTITIONED","TEMPORARY","DEGREE"
"RECON_TEST","AUDIT_LOG",,,"NO","N","         1"
"RECON_TEST","DEPT",,,"NO","N","         1"
"RECON_TEST","EMP",,,"NO","N","         1"
"RECON_TEST","INVOICES",,,"NO","N","         1"
"RECON_TEST","LEGACY_NOTES",,,"NO","N","         1"
"RECON_TEST","LEGACY_REFS",,,"NO","N","         1"
"RECON_TEST","MV_DEPT_SALARIES",3,16,"NO","N","         1"
"RECON_TEST","PRODUCT_SPECS",,,"NO","N","         1"
"RECON_TEST","SALES",,,"YES","N","         4"
"RECON_TEST","STAGING_ROWS",,,"NO","Y","         1"
